combination,outcome,model,fold_group,n_train_rows,n_test_rows,test_categories,model_failed,model_reason,roc_auc_ovr_macro,balanced_accuracy,macro_f1,log_loss
M0,q2,random_forest,P-1A815101A0,2140,40,"3,4",False,,0.456989247311828,0.36738351254480284,0.21572535991140643,1.020204276510924
M0,q2,random_forest,P-1CA9C1E745,2140,40,"2,3,4",False,,0.5709738756613757,0.36111111111111116,0.3283154121863799,0.9498838225521198
M0,q2,random_forest,P-244F9886F5,2160,20,"3,4",False,,0.625,0.65625,0.5604395604395604,0.9552069363895146
M0,q2,random_forest,P-247758AEAC,2140,40,"2,3",False,,0.3628571428571429,0.2714285714285714,0.21839080459770113,1.0516141821123468
M0,q2,random_forest,P-326C04EAEB,2160,20,"2,3,4",False,,0.8007708665603402,0.38257575757575757,0.3277777777777778,0.8859766245923513
M0,q2,random_forest,P-390B245CCC,2140,40,"2,3,4",False,,0.512372833861037,0.35725677830940983,0.30158730158730157,1.1935660968947395
M0,q2,random_forest,P-39DC795FB0,2120,60,"1,2,3,4",False,,0.5162815217961547,0.11788211788211787,0.12552211302211302,1.4472692654095929
M0,q2,random_forest,P-3D44F7B564,2160,20,"2,3,4",False,,0.5535714285714286,0.40277777777777785,0.3181818181818182,1.2984173096498908
M0,q2,random_forest,P-3FD25AB949,2160,20,"2,3,4",False,,0.7494739057239057,0.40151515151515155,0.37566137566137564,0.8524670941781947
M0,q2,random_forest,P-42CD4FF02E,2160,20,"2,3,4",False,,0.517008177008177,0.3333333333333333,0.2888888888888889,1.1535161185697238
M0,q2,random_forest,P-484A6A61BE,2120,60,"1,2,3,4",False,,0.5520292496556687,0.29365079365079366,0.189792663476874,1.6416690970040029
M0,q2,random_forest,P-48B7FC4062,2160,20,"2,3,4",False,,0.6379197994987469,0.2714285714285714,0.20526315789473681,1.0066961571161335
M0,q2,random_forest,P-4CEF5A2144,2140,40,"2,3,4",False,,0.5394945054945055,0.25142857142857145,0.16111111111111112,1.2281381218134582
M0,q2,random_forest,P-4D14B12359,2120,60,"2,3,4",False,,0.7345032840722495,0.5119047619047619,0.2717171717171717,0.8864846386283775
M0,q2,random_forest,P-4D43A127BA,2160,20,"2,3,4",False,,0.43948071536306826,0.21428571428571427,0.19254658385093168,1.1101514327539423
M0,q2,random_forest,P-541A203CCD,2100,80,4,False,,,0.1375,0.12087912087912088,1.1535746427518974
M0,q2,random_forest,P-547A3B4455,2160,20,3,False,,,0.55,0.3548387096774194,0.873360789160331
