session_id,block_num,binocular_raw_median,bbox_scale_px,outer_eye_px,inner_canthus_px,rotation_mag,translation_mag
sub-081,2,33.17279629507559,272.46234130859375,102.00067138671875,42.475485748407905,0.11176528761663596,5.131678698786799
sub-082,1,34.83796316150725,282.014404296875,107.96735956291523,46.30501040702209,0.10788343279909754,4.9112566323647355
sub-082,2,35.038489948249875,281.13636779785156,108.38143937255457,46.27828455814151,0.0877630791788175,4.911435907213624
sub-083,1,36.77290392003155,281.1323242187492,115.51342694927601,48.538017373616555,0.10239523837325785,4.88008586175021
sub-083,2,37.85915796037781,282.25824737548726,115.6626531622145,48.534428357475235,0.09116294788961446,4.910083655652953
sub-084,1,10.247341728858329,331.8632583618155,142.6257487432157,59.08254460049734,0.14452444359174474,4.721964876621617
sub-084,2,31.26608436815012,332.321533203125,144.3912188594047,59.93452249398769,0.1556730914907406,4.722832051749231
sub-085,1,39.70272297949704,259.42938232421693,98.50711173215609,42.02470285420446,0.1696993807151388,5.070306679704122
sub-085,2,39.01112509835821,264.883544921875,100.41682634788182,42.71003793391345,0.17071767784255415,5.069681325223396
sub-093,1,51.23716240697419,261.77044677734375,106.06333319012596,45.41035272960377,0.06503246489587436,4.910191646780617
sub-093,2,50.17430743416111,262.78668212890625,106.9022741564873,46.00870111130335,0.05789621323546304,4.81607569343705
sub-094,1,38.90923153909131,305.7911453247068,119.002457407124,48.39868541862681,0.16079046677711722,4.9120709859512
sub-094,2,35.02001604921435,302.92840576171875,118.75989639483078,48.109928403739694,0.16466882473127362,4.88089591291596
sub-095,1,35.07184400900822,334.7987213134759,126.06547095628679,55.094962988499674,0.03164037135795883,5.004783434834905
sub-095,2,35.45706514629724,312.16851806640625,119.42847700314162,51.82776686573698,0.032052465716537734,4.9732702922884595
sub-096,1,33.990357039949686,332.53756713867045,141.82571520879915,59.114250839379444,0.06322299489333348,4.7533984493184
sub-096,2,36.50714956235893,339.96478271484375,146.6046694751718,60.69222290577045,0.0730488737262319,4.723086052797475
sub-098,1,33.07037230570739,333.09521484375,128.09922560488826,55.50249046074033,0.09851248171191075,4.8473802261437555
sub-098,2,34.18710410584488,332.23017883300747,127.6444657470888,54.97963432059096,0.10576136933301583,4.878492882461411
sub-100,1,,267.920166015625,113.31978316466565,46.07948772519837,0.16086032831947963,4.945636055065768
sub-100,2,28.347535287202337,282.7536163330074,115.8687839796949,46.907925533182286,0.15552811759076918,5.0707608290720625
sub-104,1,37.113628060941664,318.006103515625,142.79430340550286,60.256000740559884,0.12314105592402257,4.974137722926607
sub-104,2,35.420094568686935,327.43388366699185,148.2618063651963,62.46893488052056,0.15278385853466803,5.0064442594660505
sub-106,1,34.79577169966085,305.3740997314445,124.77516467950926,53.282012939453125,0.050805324566205665,4.847455607295693
sub-106,2,34.208996466985184,301.8583984375,124.45538188761275,53.59802301754707,0.07398115576051403,4.816503805331181
sub-107,1,50.31470059396397,292.1666259765625,113.09133645414201,50.18777573125714,0.10039212711858031,4.9745072073364085
sub-107,2,47.07502850326104,299.3905029296875,112.94179301217972,49.515079848203186,0.07964069691872816,5.0682111429944445
sub-108,1,32.36936308947224,301.0949172973623,122.2133413072011,49.34353461776707,0.11557297340814165,4.8188195213728005
sub-108,2,32.56167052419046,311.08059692382665,124.17818744543291,50.24797451577563,0.10995791386195837,4.880679164459376
sub-109,1,37.49643556524607,309.8016357421871,137.45343774231884,58.88741475141023,0.10712353284617378,4.849449108976845
sub-109,2,38.22489768677767,313.2989196777329,137.4840000398202,58.44860539179725,0.06390704389979063,4.943368443752427
sub-110,1,36.97035684139196,284.7558288574219,126.70555030483337,54.06874282252713,0.1403711734308036,4.628235555902114
sub-110,2,38.847073129313785,276.060546875,123.74123794192519,52.45824934888391,0.12244923383621106,4.627805595078465
sub-114,1,35.54392612862317,289.9121551513664,111.25095591381881,44.59628024116908,0.07192604076807894,5.069829468135179
sub-114,2,34.83063413114711,283.3392333984375,109.47873906594043,43.72922530751225,0.07759947453252108,5.06981713089571
sub-116,1,42.00581636912292,330.1905822753892,124.45724455956227,50.56979446832366,0.13205649681902948,5.160662038619819
sub-116,2,40.16880669693669,327.94990539550747,124.99828549414762,50.734853885806345,0.13329994285236002,5.129646544186956
sub-117,1,42.28453889927367,306.21324157714764,122.18435678288498,50.17867507116344,0.10372835972399014,4.973821598606829
sub-117,2,40.73028308220347,307.20272827148284,123.69240567695483,51.04707325993355,0.12415133293369399,4.911331169717898
sub-118,1,31.970673523846543,259.9453430175781,97.5386962890625,40.922465512549266,0.07023646538197191,5.193835914127206
sub-118,2,31.171939937313265,271.50341796875,101.10221702525519,42.20644368941466,0.05174147150004196,5.224410550621404
sub-119,1,27.94036685455314,333.8930816650384,133.42092257211704,56.96177387657524,0.08154889111469757,4.973613626625481
sub-119,2,28.11038755915518,332.45146179199185,132.78067234035055,57.057983752880205,0.11052064685584086,5.036439534648713
sub-122,1,38.67981605773478,353.2798843383781,140.8172499527152,57.54230453885358,0.11008590169454045,4.784306571513614
sub-122,2,40.53840759429595,357.1323623657225,147.28316595823742,60.17447232708295,0.09458220168553894,4.72087955584117
sub-123,1,32.47814911065119,277.763671875,113.55983650039809,47.61414208841932,0.08641557579210664,5.00559966670949
sub-123,2,33.03008685126891,270.883544921875,112.84302603334437,47.67616699465889,0.12228545875067127,4.9740230396732095
sub-124,1,39.01307740190122,259.51220703125,106.55300660210902,45.41275960112933,0.07805222459545527,4.7538658836237015
sub-124,2,38.8807525945455,260.73953247070136,106.79283375013185,45.49040405021832,0.06982176449603944,4.755144602114171
sub-125,1,38.44403701081096,306.15002441406097,116.63272069975702,49.34573489666185,0.1290792113654297,5.035794162219403
sub-125,2,38.46448806293191,315.13533020019497,118.21191307401097,49.9747566502824,0.13274067451207966,5.035726723563807
sub-126,1,38.10412539020756,314.41558837890585,122.15738660453312,53.35351525097008,0.08327448307725527,5.130860561465825
sub-126,2,35.104820116833025,325.245361328125,127.06740089691311,55.6204347929178,0.11014669524824341,5.162997576211961
